index,driver_id,lyft_rev_x,pop1,ride_id,ride_distance,ride_duration,ride_prime_time,ride_distance_miles,ride_duration_mins,fare_total,mile_perc,time_perc,lyft_rev_y,pre_pt_fare,pre_pt_lyft_rev,is_prime_time,event,timestamp,time_of_day,weekday,month,day_of_week
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,01f133164433ea7682545a41643e6949,4711,856,0.25,2.9272796855119996,14.266666666666667,11.881297881256833,0.5175,0.4825,1.301,10.255038305005467,2.0510076610010937,True,requested_at,2016-05-18 21:12:45,4,0.0,5,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,07f9b5246c8431e3e5bac56d9f48b4f9,3047,611,0.0,1.893318022024,10.183333333333334,8.167649058660935,0.4929,0.5071,0.8835,8.167649058660935,1.6335298117321866,False,requested_at,2016-04-08 20:29:08,4,0.0,4,Friday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,13ac4cc1bf311c6944d0e6cd4c93ebb1,1091,200,0.5,0.6779159704719999,3.333333333333333,6.575,0.6106,0.3894,0.3767,5.633333333333334,1.1266666666666667,True,requested_at,2016-05-18 21:40:17,4,0.0,5,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,274033cb9ee08c4499d4f16ce9db9a82,4383,581,0.0,2.723469934536,9.683333333333334,9.012323758049735,0.5952,0.4048,1.0525,9.012323758049735,1.8024647516099472,False,requested_at,2016-04-27 21:35:10,4,0.0,4,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,2ca7357aa39d812da3055ae3d8ffa3e5,4209,640,0.0,2.615351347128,10.666666666666666,9.104320715863867,0.5617,0.4383,1.0709,9.104320715863867,1.8208641431727732,False,requested_at,2016-06-14 20:56:49,4,0.0,6,Tuesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,2efa365088953fc2427eca4685082353,5837,889,0.75,3.626943647704,14.816666666666665,16.753640757670965,0.5613,0.4387,1.4861,11.180651861526263,2.236130372305253,True,requested_at,2016-03-29 22:28:28,4,0.0,3,Tuesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,319454bab6c79927906ffa747d196093,2700,587,0.25,1.6777022184,9.783333333333333,8.852113605616669,0.4727,0.5273,0.8163,7.831690884493335,1.5663381768986668,True,requested_at,2016-06-14 21:13:00,4,0.0,6,Tuesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,51fbbf26de390105a9b5074e3c51397f,6998,1134,0.0,4.348355601616,18.9,12.908608941858398,0.546,0.45399999999999996,1.8317,12.908608941858398,2.58172178837168,False,requested_at,2016-05-06 21:21:05,4,0.0,5,Friday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,5a6861ae3b9498188027a02c587348a2,4374,920,0.5,2.717877593808,15.333333333333336,13.4983388493188,0.4809,0.5191,1.2998,10.248892566212534,2.0497785132425066,True,requested_at,2016-04-24 16:39:20,3,1.0,4,Sunday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,6bae1803f94384d4e763f64bf6124f5e,4867,1036,0.75,3.0242135914639996,17.266666666666666,16.48389651948796,0.478,0.522,1.4553,11.026512296850264,2.2053024593700528,True,requested_at,2016-06-05 16:44:59,3,1.0,6,Sunday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,833bfa5564b71fcdb8130cc82319cd73,1991,302,0.0,1.237150043272,5.033333333333333,6.280055883096133,0.5623,0.4377,0.506,6.280055883096133,1.2560111766192268,False,requested_at,2016-06-05 14:22:44,3,1.0,6,Sunday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,942d0071fcb8c16f47182f3fe7aa02ea,10028,1227,0.0,6.231110313376,20.45,15.414776860382409,0.6143,0.3857,2.333,15.414776860382409,3.0829553720764817,False,requested_at,2016-05-19 15:56:56,3,0.0,5,Thursday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,9acc3e2e4e4b6dafae49dd866f32dd94,3902,649,0.5,2.424590391184,10.816666666666665,11.501918424792402,0.5395,0.4605,1.0336,8.917945616528268,1.7835891233056538,True,requested_at,2016-04-27 20:56:08,4,0.0,4,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,acafdb36eff085643765d58b3fd209cd,1961,383,0.0,1.2185089075120001,6.383333333333334,6.555618576972133,0.4995,0.5005,0.5611,6.555618576972133,1.3111237153944266,False,requested_at,2016-05-06 20:51:49,4,0.0,5,Friday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,ad54b7bb09f71f8425abb9350056983e,1517,384,0.0,0.942620098264,6.4,6.308,0.4496,0.5504,0.5116,6.308,1.2616,False,requested_at,2016-06-22 13:06:54,3,0.0,6,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,b00676fa85988030cb4ecefb7a721e81,2077,594,0.0,1.290587965784,9.9,7.412176160651602,0.4053,0.5947,0.7324,7.412176160651602,1.4824352321303202,False,requested_at,2016-04-29 20:05:45,4,0.0,4,Friday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,b6b8293e442483822046dbd73fe4cf34,3026,741,0.0,1.880269226992,12.35,8.629309611040801,0.4432,0.5568,0.9759,8.629309611040801,1.7258619222081604,False,requested_at,2016-04-27 19:27:04,4,0.0,4,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,c39f3aefd5fb1d6edaf94bd97ddaf51d,3942,935,0.5,2.449445238864,15.583333333333336,13.1177930370404,0.451,0.5489999999999999,1.249,9.995195358026931,1.9990390716053867,True,requested_at,2016-05-18 21:49:33,4,0.0,5,Wednesday
1,007f0389f9c7b03ef97098422f902e62,32.0671,True,ca9b900ed4ebdbbe72f1cfaf21fcd497,1899,425,0.0,1.179983893608,7.083333333333332,6.665314810982532,0.4655,0.5345,0.5831,6.665314810982532,1.3330629621965069,False,requested_at,2016-05-06 21:08:41,4,0.0,5,Friday
